A/B Stereo	210
Accent Mic	210
Acoustic Guitar Miking	1020
Acoustic Screen	1000
Air Band	1030
Ambience	1000
Ambient Miking	1000
Amp Miking	1020
Analog Recording	990
Analog Summing	1030
Background Vocals	1030
Bass DI	1020
binaural recording	210
Bleed / Leakage	1000
Blumlein Pair	210
Boom Stand	1010
Brass Miking	1024
Buffer Size	990
Cabinet Miking	1020
Capsule	1000
Capture	990
Cardioid	1000
Close Miking	212
Coherence	210
Coincident Pair	210
Coloration	1000
Comb Filtering	1000
Comp Vocal	1012
Compander	470
Condenser Microphone	1000
Control Room	1010
Crest factor	990
Critical Distance	1000
Cue / Cue Light	990
Cue Send	990
Cymbal Bleed	1022
De-esser	470
Decca Tree	210
DI Recording	990
Dim Switch	990
Direct Monitoring	990
Direct sound	1000
Distant Miking	1000
Double Tracking	1030
Drum Miking	1022
Drum Phase Alignment	1022
Drum Replacement	1022
Drum Riser	1022
Drum Trigger	1022
Drum Tuning	1022
Dummy Head	210
Dynamic Microphone	1000
Expander	470
FET Microphone	1000
Figure-8 (Bidirectional)	1000
Gain Staging	990
Gain structure	990
Glyn Johns Method	1022
Gobo	1000
Handling noise	1000
Headphone Mix (Cue Mix)	990
Hi-Hat Mic	1022
Horn Miking	1024
Hybrid Mixing	1030
Hypercardioid	1000
Insert Point	1010
Instrument level (varies)	990
Isolation	1000
Jecklin Disk	210
Kick Beater Click	1022
Kick Drum Mic	1022
Lead Vocal	1030
Live Room	1010
Low-cut filter	990
M/S (mid-side) recording	210
Maximum SPL	1000
Mic Angle	1000
Mic Height	1000
Mic Pad	990
Mic Placement	1000
Mic Stand	1010
Mic stand error	1000
Mic Technique	1000
Microphonics	1000
Mid-Side (M/S)	210
Mixdown	1030
Monitor Controller	990
Monitor Path	990
Mono compatibility	210
Mono Overhead	1022
Multi-Pattern Microphone	1000
Multitrack Recording	990
Near-Coincident Pair	210
Noise Gate	470
NOS Stereo	210
Off-Axis	1000
Off-axis coloration	1000
Off-Axis Rejection	1000
Omnidirectional	1000
On-axis	1000
On-Axis Response	1000
ORTF	210
ORTF technique	210
out of phase	1000
Outboard Gear	1010
Outboard Processing	1030
Over-EQ	1030
Overdubbing	1012
Overhead Miking	1022
Overhead Pair	1022
Pad	990
Patch Point	1010
Phantom Center	210
Phantom power fault	990
Piano Miking	1024
Pickup Pattern	1000
Plosive	1000
Polar Pattern	1000
Pop filter	1000
Pop Shield	1000
Preamp gain staging	990
Presence peak	1000
Print	1012
Proximity Effect	1000
Rack Gear	1010
Reamping	1020
Recall Sheet	1012
Recorderman Technique	1022
Recording Engineer	990
Recording Set	1010
Recording Studio	990
Reference Monitor	990
Reflected Sound	1000
Reflection Filter	1000
RIAA equalization curve	990
Ribbon Microphone	1000
Room Mic	1000
Self-noise	1000
Sensitivity Rating	1000
Session Documentation	1012
Shock mount	1000
Sibilance	1000
side-chain	470
Signal Routing	1010
Singer's Headphone Mix	990
Small-Diaphragm Condenser	1000
Snare Bottom Mic	1022
Snare Top Mic	1022
Spaced Omnis	210
Spaced Pair	210
Spaced Pair (A/B Stereo)	210
Speaker Miking	1020
Spot Miking	210
Stem Bounce	1030
Stems	1030
Stereo Bar	210
Stereo Pair	210
Stereo Recording	210
Stereo Width	210
String Miking	1020
Studio Etiquette	1010
Sub Kick	1022
Subcardioid	1000
Supercardioid	1000
Take	1012
Take Management	1012
Talkback	990
Talkback Mic	990
Tape Machine	990
Timbre (Tone Color)	990
Tom Mics	1022
Tracking Sheet	1012
Tracking Template	1010
Transient response	1000
Tube Microphone	1000
Tube microphone power supply	1000
Tube warm-up	1000
Vocal Booth	1010
Vocal Chain	990
Vocal Comping	1012
Vocal Recording	1030
Warmth	990
Windscreen	1000
Working Distance	1000
X-Y Stereo Technique (Coincident Pair)	210
X/Y Stereo	210
