Active ribbon microphone	190
Ambisonic Microphone	230
automatic mic mixer	230
Backplate	190
Bidirectional Microphone (Figure-8)	200
Binaural Mic	210
binaural recording	210
Bleed / Leakage	1000
Blimp	220
Body	190
Boom Arm	220
Boom Pole	220
Boundary Microphone (PZM)	230
Capsule	190
Capsule contamination	190
Capsule leakage	190
Capsule polarization voltage	190
Capsule-to-grid connection	190
Carbon Microphone	190
Cardioid Microphone	200
Center-terminated capsule	190
Condenser Microphone	190
Contact Microphone	230
Corrugated ribbon	190
Crystal Microphone	190
Dead Cat (Windjammer)	220
Diaphragm	190
Diaphragm tension	190
Dual-diaphragm capsule	190
Dynamic Microphone	190
Edge-terminated capsule	190
Electret	190
Electret Condenser	190
End-Address	190
Equivalent noise level	200
Externally polarized condenser	190
FET	190
Frequency Response	200
Headbasket	190
Headset microphone	230
Humidity sensitivity	190
Hypercardioid	200
In phase	1000
Inline Pad	220
Interference tube	190
Internal suspension	190
JFET	190
Large-diaphragm capsule	190
Large-Diaphragm Microphone (LD Mic)	190
Lavalier Microphone (Lapel Mic / Lav)	230
Lobar pattern	200
M/S (mid-side) recording	210
Magnet assembly	190
Maximum SPL	200
Measurement microphone	230
MEMS microphone	230
Mic cable	220
Mic Clip	220
Mic correction curve	200
Mic Level	990
Mic Output Impedance	200
Mic Preamp (Preamp)	990
Mic Sensitivity	200
Mic stand error	1000
Microphone (Mic)	190
Microphone Element	190
Microphone Grille	190
Microphone Modeling	190
Microphone output transformer	190
Microphone Polar Patterns Summary	200
Microphone types	190
Microphonics	190
Moisture intrusion	190
Moving-coil dynamic microphone	190
Multipin tube mic cable	220
Noise-Canceling Microphone	230
NOM (Number of Open Mics)	230
Off-Axis	200
Off-axis coloration	200
Omnidirectional Microphone (Omni)	200
On-axis	200
ORTF technique	210
Pad	220
Pad Switch	220
Parabolic Microphone	230
Passive ribbon microphone	190
Pattern control voltage	190
Phantom Power (+48V)	220
Phantom power fault	220
Phantom-Powered Mic	220
Phase cancellation	1000
Pick-Up	190
Piezo / Piezo Microphone	190
Piezoelectric Microphone	190
Plosive	1000
Polar Pattern (Pickup Pattern)	200
Polar Pattern Switch	220
Pole piece	190
Pop filter	220
Presence peak	200
Pressure Microphone	190
Pressure-Gradient Microphone	190
Proximity Effect	200
Ribbon element	190
Ribbon Microphone	190
Ribbon motor	190
Ribbon sag	190
Ribbon transformer	190
Roll-Off Switch	220
Self-noise	200
Sensitivity (rated under standard conditions)	200
Shock mount	220
Shotgun microphone	230
Sibilance	1000
Side-Address	190
Single-diaphragm capsule	190
Small-diaphragm capsule	190
Small-Diaphragm Microphone (Pencil Mic)	190
Spaced Pair (A/B Stereo)	210
Stand adapter	220
Stereo Microphone	210
Supercardioid	200
T-power / A-B power	220
Transducer	190
Tube condenser microphone	190
Tube impedance converter	190
Tube microphone calibration check	190
Tube microphone crackle	190
Tube microphone hum	190
Tube microphone power supply	220
USB microphone	230
Windscreen	220
Wireless microphone	230
X-Y Stereo Technique (Coincident Pair)	210
Yoke mount	220
