term,topic
Sound as mechanical energy rather than an object,Foundations — Nature of Sound
Sound as pressure variation,Foundations — Nature of Sound
Sound as particle motion,Foundations — Nature of Sound
Difference between particle motion and wave propagation,Foundations — Nature of Sound
Compression and rarefaction,Foundations — Nature of Sound
Longitudinal wave motion,Foundations — Nature of Sound
Transverse-wave diagrams used to represent longitudinal sound,Foundations — Nature of Sound
Equilibrium pressure,Foundations — Nature of Sound
Atmospheric pressure versus acoustic pressure,Foundations — Nature of Sound
Instantaneous acoustic pressure,Foundations — Nature of Sound
Positive and negative pressure deviation,Foundations — Nature of Sound
Acoustic pressure versus electrical voltage,Foundations — Nature of Sound
Energy transfer without bulk transport of matter,Foundations — Nature of Sound
Sound requiring a transmission medium,Foundations — Nature of Sound
"Sound propagation in gases, liquids, and solids",Foundations — Nature of Sound
Propagation speed versus particle velocity,Foundations — Nature of Sound
Wavefronts,Foundations — Nature of Sound
Rays as simplified models of propagation,Foundations — Nature of Sound
Plane waves,Foundations — Nature of Sound
Spherical waves,Foundations — Nature of Sound
Cylindrical waves,Foundations — Nature of Sound
Near-field versus far-field behavior,Foundations — Nature of Sound
Free-field conditions,Foundations — Nature of Sound
Diffuse-field conditions,Foundations — Nature of Sound
Steady-state versus transient sound,Foundations — Nature of Sound
Deterministic versus random signals,Foundations — Nature of Sound
Periodic versus aperiodic signals,Foundations — Nature of Sound
Coherent versus incoherent sound,Foundations — Nature of Sound
Correlated versus uncorrelated signals,Foundations — Nature of Sound
Linear versus nonlinear acoustic behavior,Foundations — Nature of Sound
Polarity,Foundations — Waveform & Level
Phase versus polarity,Foundations — Waveform & Level
Instantaneous amplitude,Foundations — Waveform & Level
Peak amplitude,Foundations — Waveform & Level
Peak-to-peak amplitude,Foundations — Waveform & Level
RMS amplitude,Foundations — Waveform & Level
Average amplitude,Foundations — Waveform & Level
Duty cycle,Foundations — Waveform & Level
Waveform symmetry,Foundations — Waveform & Level
Waveform offset,Foundations — Waveform & Level
Direct-current offset,Foundations — Waveform & Level
Time-domain representation,Foundations — Waveform & Level
Frequency-domain representation,Foundations — Waveform & Level
Phase-domain representation,Foundations — Waveform & Level
Complex-number representation of waves,Foundations — Waveform & Level
Real and imaginary signal components,Foundations — Waveform & Level
Sinusoidal motion,Foundations — Waveform & Level
Initial phase,Foundations — Waveform & Level
Phase accumulation,Foundations — Waveform & Level
Instantaneous phase,Foundations — Waveform & Level
Phase delay,Foundations — Waveform & Level
Carrier,Foundations — Waveform & Level
Sidebands,Foundations — Waveform & Level
Beats,Foundations — Waveform & Level
Amplitude envelope versus waveform cycles,Foundations — Waveform & Level
Frequency versus perceived pitch,"Frequency, Pitch & Hearing"
Harmonic versus inharmonic partials,"Frequency, Pitch & Hearing"
Missing fundamental perception,"Frequency, Pitch & Hearing"
Pitch ambiguity,"Frequency, Pitch & Hearing"
Pitch class,"Frequency, Pitch & Hearing"
Octave equivalence,"Frequency, Pitch & Hearing"
Octave frequency ratios,"Frequency, Pitch & Hearing"
Semitone frequency ratios,"Frequency, Pitch & Hearing"
Equal temperament,"Frequency, Pitch & Hearing"
Just intonation,"Frequency, Pitch & Hearing"
