term,topic
Dubbing adaptation,"Dubbing — Adaptation, Sync & Timing"
Dialogue adaptation,"Dubbing — Adaptation, Sync & Timing"
Sync adaptation,"Dubbing — Adaptation, Sync & Timing"
Pre-adaptation,"Dubbing — Adaptation, Sync & Timing"
Adaptation pass,"Dubbing — Adaptation, Sync & Timing"
Sync pass,"Dubbing — Adaptation, Sync & Timing"
Performability pass,"Dubbing — Adaptation, Sync & Timing"
Speakability,"Dubbing — Adaptation, Sync & Timing"
Dubability,"Dubbing — Adaptation, Sync & Timing"
Oral naturalness,"Dubbing — Adaptation, Sync & Timing"
Prefabricated orality,"Dubbing — Adaptation, Sync & Timing"
Dubbese,"Dubbing — Adaptation, Sync & Timing"
Translationese,"Dubbing — Adaptation, Sync & Timing"
Source-language calque,"Dubbing — Adaptation, Sync & Timing"
Dialogue calque,"Dubbing — Adaptation, Sync & Timing"
Structural calque,"Dubbing — Adaptation, Sync & Timing"
Pragmatic calque,"Dubbing — Adaptation, Sync & Timing"
Dubbing cliché,"Dubbing — Adaptation, Sync & Timing"
Isochrony,"Dubbing — Adaptation, Sync & Timing"
Isochronic constraint,"Dubbing — Adaptation, Sync & Timing"
Isochronic adaptation,"Dubbing — Adaptation, Sync & Timing"
Utterance-duration matching,"Dubbing — Adaptation, Sync & Timing"
Phrase-duration matching,"Dubbing — Adaptation, Sync & Timing"
Segment-duration matching,"Dubbing — Adaptation, Sync & Timing"
Temporal accommodation,"Dubbing — Adaptation, Sync & Timing"
Temporal compression,"Dubbing — Adaptation, Sync & Timing"
Temporal expansion,"Dubbing — Adaptation, Sync & Timing"
Linguistic expansion,"Dubbing — Adaptation, Sync & Timing"
Linguistic condensation,"Dubbing — Adaptation, Sync & Timing"
Syllabic compression,"Dubbing — Adaptation, Sync & Timing"
Syllabic expansion,"Dubbing — Adaptation, Sync & Timing"
Speech-rate compensation,"Dubbing — Adaptation, Sync & Timing"
Compression threshold,"Dubbing — Adaptation, Sync & Timing"
Expansion threshold,"Dubbing — Adaptation, Sync & Timing"
Time-slot occupancy,"Dubbing — Adaptation, Sync & Timing"
Sync envelope,"Dubbing — Adaptation, Sync & Timing"
Sync latitude,"Dubbing — Adaptation, Sync & Timing"
Entry latitude,"Dubbing — Adaptation, Sync & Timing"
Exit latitude,"Dubbing — Adaptation, Sync & Timing"
Internal timing anchor,"Dubbing — Adaptation, Sync & Timing"
Boundary synchrony,"Dubbing — Adaptation, Sync & Timing"
Internal synchrony,"Dubbing — Adaptation, Sync & Timing"
Pause synchrony,"Dubbing — Adaptation, Sync & Timing"
Pause redistribution,"Dubbing — Adaptation, Sync & Timing"
Hesitation matching,"Dubbing — Adaptation, Sync & Timing"
Silence accommodation,"Dubbing — Adaptation, Sync & Timing"
Utterance segmentation,"Dubbing — Adaptation, Sync & Timing"
Segmentation mismatch,"Dubbing — Adaptation, Sync & Timing"
Phonetic synchrony,"Dubbing — Adaptation, Sync & Timing"
Phonetic synchronization,"Dubbing — Adaptation, Sync & Timing"
Visemic synchrony,"Dubbing — Adaptation, Sync & Timing"
Viseme,"Dubbing — Adaptation, Sync & Timing"
Viseme matching,"Dubbing — Adaptation, Sync & Timing"
Visemic compatibility,"Dubbing — Adaptation, Sync & Timing"
Viseme substitution,"Dubbing — Adaptation, Sync & Timing"
Viseme collision,"Dubbing — Adaptation, Sync & Timing"
Viseme tolerance,"Dubbing — Adaptation, Sync & Timing"
Labial synchrony,"Dubbing — Adaptation, Sync & Timing"
Bilabial correspondence,"Dubbing — Adaptation, Sync & Timing"
Labiodental correspondence,"Dubbing — Adaptation, Sync & Timing"
Open-vowel correspondence,"Dubbing — Adaptation, Sync & Timing"
Rounded-vowel correspondence,"Dubbing — Adaptation, Sync & Timing"
Lip-rounding mismatch,"Dubbing — Adaptation, Sync & Timing"
Closure mismatch,"Dubbing — Adaptation, Sync & Timing"
Aperture mismatch,"Dubbing — Adaptation, Sync & Timing"
Articulatory anchor,"Dubbing — Adaptation, Sync & Timing"
Closure anchor,"Dubbing — Adaptation, Sync & Timing"
Vowel anchor,"Dubbing — Adaptation, Sync & Timing"
Mouth-flap matching,"Dubbing — Adaptation, Sync & Timing"
Flap,"Dubbing — Adaptation, Sync & Timing"
Flap count,"Dubbing — Adaptation, Sync & Timing"
Flap density,"Dubbing — Adaptation, Sync & Timing"
Loose flap,"Dubbing — Adaptation, Sync & Timing"
Tight flap,"Dubbing — Adaptation, Sync & Timing"
Held flap,"Dubbing — Adaptation, Sync & Timing"
Closed-mouth frame,"Dubbing — Adaptation, Sync & Timing"
Mouth-open interval,"Dubbing — Adaptation, Sync & Timing"
Flap interpolation,"Dubbing — Adaptation, Sync & Timing"
Kinesic synchrony,"Dubbing — Adaptation, Sync & Timing"
Kinetic synchrony,"Dubbing — Adaptation, Sync & Timing"
Gesture synchrony,"Dubbing — Adaptation, Sync & Timing"
Gesture anchoring,"Dubbing — Adaptation, Sync & Timing"
Deictic synchrony,"Dubbing — Adaptation, Sync & Timing"
Nodding synchrony,"Dubbing — Adaptation, Sync & Timing"
Head-turn synchrony,"Dubbing — Adaptation, Sync & Timing"
Breath-action synchrony,"Dubbing — Adaptation, Sync & Timing"
Impact synchrony,"Dubbing — Adaptation, Sync & Timing"
Effort synchrony,"Dubbing — Adaptation, Sync & Timing"
Action-locked vocal,"Dubbing — Adaptation, Sync & Timing"
Gesture-loaded utterance,"Dubbing — Adaptation, Sync & Timing"
Visual prosody,"Dubbing — Adaptation, Sync & Timing"
Performance synchrony,"Dubbing — Adaptation, Sync & Timing"
Emotional synchrony,"Dubbing — Adaptation, Sync & Timing"
Affective synchrony,"Dubbing — Adaptation, Sync & Timing"
Character synchrony,"Dubbing — Adaptation, Sync & Timing"
Body-voice fit,"Dubbing — Adaptation, Sync & Timing"
Vocal physiognomy,"Dubbing — Adaptation, Sync & Timing"
Acoustic body,"Dubbing — Adaptation, Sync & Timing"
Prosodic synchrony,"Dubbing — Adaptation, Sync & Timing"
Prosodic transfer,"Dubbing — Adaptation, Sync & Timing"
Prosodic adaptation,"Dubbing — Adaptation, Sync & Timing"
Prosodic alignment,"Dubbing — Adaptation, Sync & Timing"
Intonational equivalence,"Dubbing — Adaptation, Sync & Timing"
Stress relocation,"Dubbing — Adaptation, Sync & Timing"
Accentual synchrony,"Dubbing — Adaptation, Sync & Timing"
Nuclear-stress matching,"Dubbing — Adaptation, Sync & Timing"
Tonal contour matching,"Dubbing — Adaptation, Sync & Timing"
Phrase-contour matching,"Dubbing — Adaptation, Sync & Timing"
Prosodic resegmentation,"Dubbing — Adaptation, Sync & Timing"
Intonational rephrasing,"Dubbing — Adaptation, Sync & Timing"
Emphasis preservation,"Dubbing — Adaptation, Sync & Timing"
