term,topic
Glyn Johns technique,Instrument Recording — Drums & Percussion
Glyn Johns side microphone,Instrument Recording — Drums & Percussion
Overhead-and-shoulder array,Instrument Recording — Drums & Percussion
Drum head-baffle technique,Instrument Recording — Drums & Percussion
Drum-kit midpoint microphone,Instrument Recording — Drums & Percussion
Wurst microphone,Instrument Recording — Drums & Percussion
Tchad Blake drum microphone,Instrument Recording — Drums & Percussion
Drum crush microphone,Instrument Recording — Drums & Percussion
Drum crush channel,Instrument Recording — Drums & Percussion
Batter-side kick microphone,Instrument Recording — Drums & Percussion
Kick beater-side microphone,Instrument Recording — Drums & Percussion
Kick-in microphone,Instrument Recording — Drums & Percussion
Kick-out microphone,Instrument Recording — Drums & Percussion
Kick-front microphone,Instrument Recording — Drums & Percussion
Kick-drum tunnel microphone,Instrument Recording — Drums & Percussion
Resonant-head proximity miking,Instrument Recording — Drums & Percussion
Snare-shell microphone,Instrument Recording — Drums & Percussion
Snare-vent microphone,Instrument Recording — Drums & Percussion
Rim-plane snare miking,Instrument Recording — Drums & Percussion
Under-snare microphone,Instrument Recording — Drums & Percussion
Underhead microphone,Instrument Recording — Drums & Percussion
Tom-bottom microphone,Instrument Recording — Drums & Percussion
Drum-shell underside miking,Instrument Recording — Drums & Percussion
Hi-hat bell miking,Instrument Recording — Drums & Percussion
Hi-hat edge rejection,Instrument Recording — Drums & Percussion
Ride-bell spot microphone,Instrument Recording — Drums & Percussion
Cymbal-under miking,Instrument Recording — Drums & Percussion
Cymbal-plane miking,Instrument Recording — Drums & Percussion
Drum-shell rejection angle,Instrument Recording — Drums & Percussion
Timpani head-edge miking,Instrument Recording — Drums & Percussion
Timpani bowl-side miking,Instrument Recording — Drums & Percussion
Timpani pair spacing,Instrument Recording — Drums & Percussion
Marimba resonator miking,Instrument Recording — Drums & Percussion
Marimba bar-side miking,Instrument Recording — Drums & Percussion
Marimba low-end outrigger,Instrument Recording — Drums & Percussion
Vibraphone motor-noise rejection,Instrument Recording — Drums & Percussion
