term,topic
Punch-and-streamer synchronization,"Film Scoring — Sync, Cue & Music Editorial"
Free timing,"Film Scoring — Sync, Cue & Music Editorial"
Written click,"Film Scoring — Sync, Cue & Music Editorial"
Click value,"Film Scoring — Sync, Cue & Music Editorial"
Fractional click,"Film Scoring — Sync, Cue & Music Editorial"
Variable click,"Film Scoring — Sync, Cue & Music Editorial"
Dead click,"Film Scoring — Sync, Cue & Music Editorial"
Click dropout,"Film Scoring — Sync, Cue & Music Editorial"
Catch beat,"Film Scoring — Sync, Cue & Music Editorial"
Catch point,"Film Scoring — Sync, Cue & Music Editorial"
Sync beat,"Film Scoring — Sync, Cue & Music Editorial"
Sync bar,"Film Scoring — Sync, Cue & Music Editorial"
Sync-point tolerance,"Film Scoring — Sync, Cue & Music Editorial"
Hit-point map,"Film Scoring — Sync, Cue & Music Editorial"
Beat mapping to picture,"Film Scoring — Sync, Cue & Music Editorial"
Tempo solve,"Film Scoring — Sync, Cue & Music Editorial"
Tempo fitting,"Film Scoring — Sync, Cue & Music Editorial"
Meter modulation for picture,"Film Scoring — Sync, Cue & Music Editorial"
Reel–music cue number,"Film Scoring — Sync, Cue & Music Editorial"
M-number,"Film Scoring — Sync, Cue & Music Editorial"
Cue suffix,"Film Scoring — Sync, Cue & Music Editorial"
Cue prefix,"Film Scoring — Sync, Cue & Music Editorial"
Cue split,"Film Scoring — Sync, Cue & Music Editorial"
Cue combine,"Film Scoring — Sync, Cue & Music Editorial"
Cue insert,"Film Scoring — Sync, Cue & Music Editorial"
Cue replacement,"Film Scoring — Sync, Cue & Music Editorial"
Cue versioning,"Film Scoring — Sync, Cue & Music Editorial"
Alternate cue,"Film Scoring — Sync, Cue & Music Editorial"
Cue revision letter,"Film Scoring — Sync, Cue & Music Editorial"
Cue matrix,"Film Scoring — Sync, Cue & Music Editorial"
Cue status,"Film Scoring — Sync, Cue & Music Editorial"
Cue turnover,"Film Scoring — Sync, Cue & Music Editorial"
Cue lock,"Film Scoring — Sync, Cue & Music Editorial"
Cue package,"Film Scoring — Sync, Cue & Music Editorial"
Reconform,"Film Scoring — Sync, Cue & Music Editorial"
Global reconform,"Film Scoring — Sync, Cue & Music Editorial"
Picture-change list,"Film Scoring — Sync, Cue & Music Editorial"
Change note,"Film Scoring — Sync, Cue & Music Editorial"
Pull-up,"Film Scoring — Sync, Cue & Music Editorial"
Pull-down,"Film Scoring — Sync, Cue & Music Editorial"
Head change,"Film Scoring — Sync, Cue & Music Editorial"
Tail change,"Film Scoring — Sync, Cue & Music Editorial"
Internal change,"Film Scoring — Sync, Cue & Music Editorial"
Picture slip,"Film Scoring — Sync, Cue & Music Editorial"
Music slip,"Film Scoring — Sync, Cue & Music Editorial"
Editorial stretch,"Film Scoring — Sync, Cue & Music Editorial"
Editorial compression,"Film Scoring — Sync, Cue & Music Editorial"
Structural conform,"Film Scoring — Sync, Cue & Music Editorial"
Post-record conform,"Film Scoring — Sync, Cue & Music Editorial"
Pre-record conform,"Film Scoring — Sync, Cue & Music Editorial"
Spotting note,"Film Scoring — Sync, Cue & Music Editorial"
Timing note,"Film Scoring — Sync, Cue & Music Editorial"
In-point,"Film Scoring — Sync, Cue & Music Editorial"
Out-point,"Film Scoring — Sync, Cue & Music Editorial"
Music entrance rationale,"Film Scoring — Sync, Cue & Music Editorial"
Music exit rationale,"Film Scoring — Sync, Cue & Music Editorial"
Play-through,"Film Scoring — Sync, Cue & Music Editorial"
Play-off,"Film Scoring — Sync, Cue & Music Editorial"
Play-on,"Film Scoring — Sync, Cue & Music Editorial"
Open ending,"Film Scoring — Sync, Cue & Music Editorial"
Soft out,"Film Scoring — Sync, Cue & Music Editorial"
Tail-out,"Film Scoring — Sync, Cue & Music Editorial"
Top-and-tail scoring,"Film Scoring — Sync, Cue & Music Editorial"
Bookend scoring,"Film Scoring — Sync, Cue & Music Editorial"
Under-dialogue corridor,"Film Scoring — Sync, Cue & Music Editorial"
Dialogue pocket,"Film Scoring — Sync, Cue & Music Editorial"
Narrative handoff,"Film Scoring — Sync, Cue & Music Editorial"
Modular scoring,"Film Scoring — Sync, Cue & Music Editorial"
Expandable module,"Film Scoring — Sync, Cue & Music Editorial"
Contractible module,"Film Scoring — Sync, Cue & Music Editorial"
Elastic phrase,"Film Scoring — Sync, Cue & Music Editorial"
Neutral bar,"Film Scoring — Sync, Cue & Music Editorial"
Holding pattern,"Film Scoring — Sync, Cue & Music Editorial"
Vamp-to-hit,"Film Scoring — Sync, Cue & Music Editorial"
Vamp-out,"Film Scoring — Sync, Cue & Music Editorial"
Safety bar,"Film Scoring — Sync, Cue & Music Editorial"
Cut bar,"Film Scoring — Sync, Cue & Music Editorial"
Insert bar,"Film Scoring — Sync, Cue & Music Editorial"
Accordion cue,"Film Scoring — Sync, Cue & Music Editorial"
Pivot bar,"Film Scoring — Sync, Cue & Music Editorial"
Transition module,"Film Scoring — Sync, Cue & Music Editorial"
Tension plateau,"Film Scoring — Sync, Cue & Music Editorial"
Deferred cadence,"Film Scoring — Sync, Cue & Music Editorial"
Cadential synchronization,"Film Scoring — Sync, Cue & Music Editorial"
Phrasal synchronization,"Film Scoring — Sync, Cue & Music Editorial"
Metric synchronization,"Film Scoring — Sync, Cue & Music Editorial"
Parametric synchronization,"Film Scoring — Sync, Cue & Music Editorial"
Orchestral handoff,"Film Scoring — Sync, Cue & Music Editorial"
Timbral reveal,"Film Scoring — Sync, Cue & Music Editorial"
Registral clearance,"Film Scoring — Sync, Cue & Music Editorial"
Orchestration thinning,"Film Scoring — Sync, Cue & Music Editorial"
Perspective orchestration,"Film Scoring — Sync, Cue & Music Editorial"
Scoring stage foldback,"Film Scoring — Sync, Cue & Music Editorial"
Conductor picture feed,"Film Scoring — Sync, Cue & Music Editorial"
Session streamer,"Film Scoring — Sync, Cue & Music Editorial"
Session punch,"Film Scoring — Sync, Cue & Music Editorial"
Prelay,"Film Scoring — Sync, Cue & Music Editorial"
Score prelay,"Film Scoring — Sync, Cue & Music Editorial"
Orchestral sweetener,"Film Scoring — Sync, Cue & Music Editorial"
Electronic sweetener,"Film Scoring — Sync, Cue & Music Editorial"
Double pass,"Film Scoring — Sync, Cue & Music Editorial"
Sectional overlay,"Film Scoring — Sync, Cue & Music Editorial"
Spot overdub,"Film Scoring — Sync, Cue & Music Editorial"
Score replacement pass,"Film Scoring — Sync, Cue & Music Editorial"
Wild take,"Film Scoring — Sync, Cue & Music Editorial"
Wild ending,"Film Scoring — Sync, Cue & Music Editorial"
Ring-out take,"Film Scoring — Sync, Cue & Music Editorial"
Long-tail take,"Film Scoring — Sync, Cue & Music Editorial"
Clean top,"Film Scoring — Sync, Cue & Music Editorial"
Clean tail,"Film Scoring — Sync, Cue & Music Editorial"
Score stage master,"Film Scoring — Sync, Cue & Music Editorial"
Cue assembly,"Film Scoring — Sync, Cue & Music Editorial"
Score conform stem,"Film Scoring — Sync, Cue & Music Editorial"
Cue assembly master,"Film Scoring — Sync, Cue & Music Editorial"
Music editorial master,"Film Scoring — Sync, Cue & Music Editorial"
Music-and-effects compatibility,"Film Scoring — Sync, Cue & Music Editorial"
M&E gap,"Film Scoring — Sync, Cue & Music Editorial"
Score stem family,"Film Scoring — Sync, Cue & Music Editorial"
Editorial stem,"Film Scoring — Sync, Cue & Music Editorial"
Theme stem,"Film Scoring — Sync, Cue & Music Editorial"
Pulse stem,"Film Scoring — Sync, Cue & Music Editorial"
Atmospheric stem,"Film Scoring — Sync, Cue & Music Editorial"
Transient stem,"Film Scoring — Sync, Cue & Music Editorial"
Score element,"Film Scoring — Sync, Cue & Music Editorial"
No-melody mix,"Film Scoring — Sync, Cue & Music Editorial"
No-percussion mix,"Film Scoring — Sync, Cue & Music Editorial"
Reduced-density mix,"Film Scoring — Sync, Cue & Music Editorial"
Button alternate,"Film Scoring — Sync, Cue & Music Editorial"
Mix-out alternate,"Film Scoring — Sync, Cue & Music Editorial"
Music editorial toolkit,"Film Scoring — Sync, Cue & Music Editorial"
Photoplay music,Silent-Film & Photoplay Scoring
Photoplay album,Silent-Film & Photoplay Scoring
Photoplay library,Silent-Film & Photoplay Scoring
Thematic cue sheet,Silent-Film & Photoplay Scoring
Cue-sheet incipit,Silent-Film & Photoplay Scoring
Compilation score,Silent-Film & Photoplay Scoring
Compiled accompaniment,Silent-Film & Photoplay Scoring
Synchronization score,Silent-Film & Photoplay Scoring
Stock cue,Silent-Film & Photoplay Scoring
Characteristic piece,Silent-Film & Photoplay Scoring
Situation music,Silent-Film & Photoplay Scoring
Hurry,Silent-Film & Photoplay Scoring
Comic hurry,Silent-Film & Photoplay Scoring
Agitato,Silent-Film & Photoplay Scoring
Furioso,Silent-Film & Photoplay Scoring
Misterioso,Silent-Film & Photoplay Scoring
Comic misterioso,Silent-Film & Photoplay Scoring
Andante misterioso,Silent-Film & Photoplay Scoring
Plaintive,Silent-Film & Photoplay Scoring
Pathetic music,Silent-Film & Photoplay Scoring
Neutral music,Silent-Film & Photoplay Scoring
General-use hurry,Silent-Film & Photoplay Scoring
Descriptive incidental,Silent-Film & Photoplay Scoring
Curtain music,Silent-Film & Photoplay Scoring
Musical primer,Silent-Film & Photoplay Scoring
Modular silent-film score,Silent-Film & Photoplay Scoring
Anempathetic music,Film-Music Theory & Analysis
Empathetic music,Film-Music Theory & Analysis
Synchresis,Film-Music Theory & Analysis
Added value,Film-Music Theory & Analysis
Audiovisual counterpoint,Film-Music Theory & Analysis
Audiovisual consonance,Film-Music Theory & Analysis
Audiovisual dissonance,Film-Music Theory & Analysis
Temporal vectorization,Film-Music Theory & Analysis
Temporalization of image,Film-Music Theory & Analysis
Point of synchronization,Film-Music Theory & Analysis
Avoided synchronization,Film-Music Theory & Analysis
False synchronization,Film-Music Theory & Analysis
Micro-synchronization,Film-Music Theory & Analysis
Macro-synchronization,Film-Music Theory & Analysis
Structural synchronization,Film-Music Theory & Analysis
Tonal teleology,Film-Music Theory & Analysis
Cadential genre,Film-Music Theory & Analysis
Mixed plagal cadence,Film-Music Theory & Analysis
Subtonic half cadence,Film-Music Theory & Analysis
Tritone-minor-second complex,Film-Music Theory & Analysis
Chromatic mediant network,Film-Music Theory & Analysis
Pan-triadic writing,Film-Music Theory & Analysis
Neo-Riemannian transformation,Film-Music Theory & Analysis
Hexatonic pole,Film-Music Theory & Analysis
Double-tonic complex,Film-Music Theory & Analysis
Tonal pairing,Film-Music Theory & Analysis
Associative orchestration,Film-Music Theory & Analysis
Timbral leitmotif,Film-Music Theory & Analysis
Textural leitmotif,Film-Music Theory & Analysis
Harmonic signifier,Film-Music Theory & Analysis
Topic transformation,Film-Music Theory & Analysis
Genre-coded cadence,Film-Music Theory & Analysis
Signal extraction,Archival Preservation Principles & Digital Repository
Content migration,Archival Preservation Principles & Digital Repository
Carrier preservation,Archival Preservation Principles & Digital Repository
Content preservation,Archival Preservation Principles & Digital Repository
Preservation transfer,Archival Preservation Principles & Digital Repository
Archival transfer chain,Archival Preservation Principles & Digital Repository
Access derivative,Archival Preservation Principles & Digital Repository
Mezzanine file,Archival Preservation Principles & Digital Repository
Authentic signal representation,Archival Preservation Principles & Digital Repository
Archival neutrality,Archival Preservation Principles & Digital Repository
Reversible intervention,Archival Preservation Principles & Digital Repository
Minimal intervention,Archival Preservation Principles & Digital Repository
Documented intervention,Archival Preservation Principles & Digital Repository
Preservation pathway,Archival Preservation Principles & Digital Repository
Format obsolescence risk,Archival Preservation Principles & Digital Repository
Carrier-based obsolescence,Archival Preservation Principles & Digital Repository
System dependency,Archival Preservation Principles & Digital Repository
Preservation triage,Archival Preservation Principles & Digital Repository
Unequalized transfer,"Archival Transfer, Recovery & Restoration Processing"
Pre-equalized transfer,"Archival Transfer, Recovery & Restoration Processing"
Post-transfer equalization,"Archival Transfer, Recovery & Restoration Processing"
Replay characteristic,"Archival Transfer, Recovery & Restoration Processing"
Historical replay equalization,"Archival Transfer, Recovery & Restoration Processing"
Turnover frequency,"Archival Transfer, Recovery & Restoration Processing"
High-frequency roll-off constant,"Archival Transfer, Recovery & Restoration Processing"
Non-RIAA equalization,"Archival Transfer, Recovery & Restoration Processing"
Characteristic uncertainty,"Archival Transfer, Recovery & Restoration Processing"
Reference transfer,"Archival Transfer, Recovery & Restoration Processing"
Parallel transfer,"Archival Transfer, Recovery & Restoration Processing"
Multi-stylus transfer,"Archival Transfer, Recovery & Restoration Processing"
Multi-pass transfer,"Archival Transfer, Recovery & Restoration Processing"
Channel-selective transfer,"Archival Transfer, Recovery & Restoration Processing"
Dual-wall recovery,"Archival Transfer, Recovery & Restoration Processing"
Wall-to-wall summation,"Archival Transfer, Recovery & Restoration Processing"
Phase-coherent summation,"Archival Transfer, Recovery & Restoration Processing"
Differential groove recovery,"Archival Transfer, Recovery & Restoration Processing"
Common-mode groove rejection,"Archival Transfer, Recovery & Restoration Processing"
Transfer calibration tone,"Archival Transfer, Recovery & Restoration Processing"
Transfer lineage,"Archival Transfer, Recovery & Restoration Processing"
Generation identification,"Archival Transfer, Recovery & Restoration Processing"
Generation loss assessment,"Archival Transfer, Recovery & Restoration Processing"
Contemporaneous transfer note,"Archival Transfer, Recovery & Restoration Processing"
Binder hydrolysis,Magnetic Media Degradation (Archival)
Sticky-shed syndrome,Magnetic Media Degradation (Archival)
Soft-binder syndrome,Magnetic Media Degradation (Archival)
Binder breakdown,Magnetic Media Degradation (Archival)
Coating shed,Magnetic Media Degradation (Archival)
Oxide shedding,Magnetic Media Degradation (Archival)
Binder exudation,Magnetic Media Degradation (Archival)
Lubricant exudation,Magnetic Media Degradation (Archival)
Lubricant depletion,Magnetic Media Degradation (Archival)
Blocking,Magnetic Media Degradation (Archival)
Layer adhesion,Magnetic Media Degradation (Archival)
Coating delamination,Magnetic Media Degradation (Archival)
Base-film hydrolysis,Magnetic Media Degradation (Archival)
Acetate-base decomposition,Magnetic Media Degradation (Archival)
Vinegar syndrome,Magnetic Media Degradation (Archival)
Plasticizer migration,Magnetic Media Degradation (Archival)
Embrittlement,Magnetic Media Degradation (Archival)
Substrate shrinkage,Magnetic Media Degradation (Archival)
Magnetic-particle agglomeration,Magnetic Media Degradation (Archival)
Coating friability,Magnetic Media Degradation (Archival)
Pack tension,Magnetic Media Degradation (Archival)
Pack stress,Magnetic Media Degradation (Archival)
Pack slip,Magnetic Media Degradation (Archival)
Interlayer slip,Magnetic Media Degradation (Archival)
Cinching,Magnetic Media Degradation (Archival)
Stepped pack,Magnetic Media Degradation (Archival)
Scattered wind,Magnetic Media Degradation (Archival)
Windowing,Magnetic Media Degradation (Archival)
Spoking,Magnetic Media Degradation (Archival)
Pack collapse,Magnetic Media Degradation (Archival)
Flange pack contact,Magnetic Media Degradation (Archival)
Edge weave,Magnetic Media Degradation (Archival)
Tape skew,Magnetic Media Degradation (Archival)
Edge damage,Magnetic Media Degradation (Archival)
Popped strand,Magnetic Media Degradation (Archival)
Leafing,Magnetic Media Degradation (Archival)
Cupping,Magnetic Media Degradation (Archival)
Longitudinal curl,Magnetic Media Degradation (Archival)
Transverse curl,Magnetic Media Degradation (Archival)
Saddle deformation,Magnetic Media Degradation (Archival)
Crease memory,Magnetic Media Degradation (Archival)
Tension imprint,Magnetic Media Degradation (Archival)
Print-through,Magnetic Media Degradation (Archival)
Pre-print,Magnetic Media Degradation (Archival)
Post-print,Magnetic Media Degradation (Archival)
Azimuth error,Magnetic Media Degradation (Archival)
Dynamic azimuth error,Magnetic Media Degradation (Archival)
Azimuth drift,Magnetic Media Degradation (Archival)
Segmental azimuth correction,Magnetic Media Degradation (Archival)
Automatic azimuth correction,Magnetic Media Degradation (Archival)
Zenith error,Magnetic Media Degradation (Archival)
Head-height error,Magnetic Media Degradation (Archival)
Track-placement error,Magnetic Media Degradation (Archival)
Track-width mismatch,Magnetic Media Degradation (Archival)
Guard-band intrusion,Magnetic Media Degradation (Archival)
Adjacent-track crosstalk,Magnetic Media Degradation (Archival)
Head-wrap angle,Magnetic Media Degradation (Archival)
Tape wrap,Magnetic Media Degradation (Archival)
Head-to-tape contact,Magnetic Media Degradation (Archival)
Spacing loss,Magnetic Media Degradation (Archival)
Gap loss,Magnetic Media Degradation (Archival)
Contour effect,Magnetic Media Degradation (Archival)
Fringing effect,Magnetic Media Degradation (Archival)
Head-gap scatter,Magnetic Media Degradation (Archival)
Interchannel time displacement,Magnetic Media Degradation (Archival)
Stack alignment,Magnetic Media Degradation (Archival)
Reference-fluxivity mismatch,Magnetic Media Degradation (Archival)
Replay calibration ambiguity,Magnetic Media Degradation (Archival)
Wow,Magnetic Media Degradation (Archival)
Flutter,Magnetic Media Degradation (Archival)
Wow-and-flutter profile,Magnetic Media Degradation (Archival)
Scrape flutter,Magnetic Media Degradation (Archival)
Stick-slip motion,Magnetic Media Degradation (Archival)
Tape squeal,Magnetic Media Degradation (Archival)
Longitudinal vibration,Magnetic Media Degradation (Archival)
